file,x1,y1,x2,y2,width,height
05_货币道具/图标_only/01_01_金币.png,1018,88,1078,145,60,57
05_货币道具/带标签/01_02_钻石.png,1087,84,1161,170,74,86
05_货币道具/图标_only/01_02_钻石.png,1094,88,1154,145,60,57
05_货币道具/带标签/01_03_紫晶.png,1164,84,1238,170,74,86
05_货币道具/图标_only/01_03_紫晶.png,1171,88,1231,145,60,57
05_货币道具/带标签/01_04_钥匙.png,1241,84,1315,170,74,86
05_货币道具/图标_only/01_04_钥匙.png,1248,88,1308,145,60,57
05_货币道具/带标签/01_05_宝箱.png,1318,84,1392,170,74,86
05_货币道具/图标_only/01_05_宝箱.png,1325,88,1385,145,60,57
05_货币道具/带标签/01_06_卷轴.png,1394,84,1468,170,74,86
05_货币道具/图标_only/01_06_卷轴.png,1401,88,1461,145,60,57
05_货币道具/带标签/02_01_武器.png,1011,171,1085,256,74,85
05_货币道具/图标_only/02_01_武器.png,1018,175,1078,232,60,57
05_货币道具/带标签/02_02_盾牌.png,1087,171,1161,256,74,85
05_货币道具/图标_only/02_02_盾牌.png,1094,175,1154,232,60,57
05_货币道具/带标签/02_03_铠甲.png,1164,171,1238,256,74,85
05_货币道具/图标_only/02_03_铠甲.png,1171,175,1231,232,60,57
05_货币道具/带标签/02_04_靴子.png,1241,171,1315,256,74,85
05_货币道具/图标_only/02_04_靴子.png,1248,175,1308,232,60,57
05_货币道具/带标签/02_05_生命药水.png,1318,171,1392,256,74,85
05_货币道具/图标_only/02_05_生命药水.png,1325,175,1385,232,60,57
05_货币道具/带标签/02_06_法力药水.png,1394,171,1468,256,74,85
05_货币道具/图标_only/02_06_法力药水.png,1401,175,1461,232,60,57
05_货币道具/带标签/03_01_炸弹.png,1011,257,1085,342,74,85
05_货币道具/图标_only/03_01_炸弹.png,1018,261,1078,318,60,57
05_货币道具/带标签/03_02_烤鸡食物.png,1087,257,1161,342,74,85
05_货币道具/图标_only/03_02_烤鸡食物.png,1094,261,1154,318,60,57
05_货币道具/带标签/03_03_水晶.png,1164,257,1238,342,74,85
05_货币道具/图标_only/03_03_水晶.png,1171,261,1231,318,60,57
05_货币道具/带标签/03_04_强化石.png,1241,257,1315,342,74,85
05_货币道具/图标_only/03_04_强化石.png,1248,261,1308,318,60,57
05_货币道具/带标签/03_05_进阶材料.png,1318,257,1392,342,74,85
05_货币道具/图标_only/03_05_进阶材料.png,1325,261,1385,318,60,57
05_货币道具/带标签/03_06_英雄碎片.png,1394,257,1468,342,74,85
05_货币道具/图标_only/03_06_英雄碎片.png,1401,261,1461,318,60,57
05_货币道具/带标签/04_01_木材.png,1011,343,1085,474,74,131
05_货币道具/图标_only/04_01_木材.png,1018,347,1078,404,60,57
05_货币道具/带标签/04_02_石块.png,1087,343,1161,474,74,131
05_货币道具/图标_only/04_02_石块.png,1094,347,1154,404,60,57
05_货币道具/带标签/04_03_铁锭.png,1164,343,1238,474,74,131
05_货币道具/图标_only/04_03_铁锭.png,1171,347,1231,404,60,57
05_货币道具/带标签/04_04_魔能结晶.png,1241,343,1315,474,74,131
05_货币道具/图标_only/04_04_魔能结晶.png,1248,347,1308,404,60,57
05_货币道具/带标签/04_05_龙鳞.png,1318,343,1392,474,74,131
05_货币道具/图标_only/04_05_龙鳞.png,1325,347,1385,404,60,57
05_货币道具/带标签/04_06_魔法粉尘.png,1394,343,1468,474,74,131
05_货币道具/图标_only/04_06_魔法粉尘.png,1401,347,1461,404,60,57
06_商店/大横幅_超值礼包.png,470,522,812,610,342,88
06_商店/限时特惠_炎龙.png,820,521,984,608,164,87
06_商店/月卡.png,820,612,984,695,164,83
06_商店/成长基金.png,820,696,984,800,164,104
06_商店/分类页签整条.png,470,612,809,652,339,40
06_商店/商品卡_新手礼包.png,468,653,552,800,84,147
06_商店/商品卡_进阶材料包.png,556,653,639,800,83,147
06_商店/商品卡_英雄召唤券.png,643,653,726,800,83,147
06_商店/商品卡_金币大礼包.png,730,653,814,800,84,147
07_战斗UI/HUD顶部.png,1008,520,1475,563,467,43
07_战斗UI/BOSS来袭警告条.png,1008,568,1477,620,469,52
07_战斗UI/技能卡_紫.png,1013,637,1118,788,105,151
07_战斗UI/技能卡_蓝.png,1122,637,1228,788,106,151
07_战斗UI/技能卡_橙.png,1233,637,1338,788,105,151
07_战斗UI/战斗胜利结算.png,1343,635,1476,797,133,162
08_仓库/分类栏.png,467,850,533,1000,66,150
08_仓库/物品格区域.png,540,848,768,1002,228,154
08_仓库/剑.png,550,857,608,909,58,52
08_仓库/铠甲.png,613,857,670,909,57,52
08_仓库/靴子.png,676,857,733,909,57,52
08_仓库/生命药水.png,550,912,608,963,58,51
08_仓库/法力药水.png,613,912,670,963,57,51
08_仓库/卷轴.png,676,912,733,963,57,51
08_仓库/宝箱.png,550,965,608,1004,58,39
08_仓库/空槽.png,613,965,670,1004,57,39
09_升级/守护雕像卡.png,788,844,899,995,111,151
09_升级/城墙卡.png,904,844,1015,995,111,151
09_升级/公主卡.png,1020,844,1138,995,118,151
10_主界面拆分/玩家信息卡.png,20,65,267,129,247,64
10_主界面拆分/顶部货币栏.png,276,64,438,109,162,45
10_主界面拆分/Logo.png,130,134,368,283,238,149
10_主界面拆分/左侧按钮组.png,16,346,93,607,77,261
10_主界面拆分/右侧按钮组.png,365,346,441,609,76,263
10_主界面拆分/关卡面板.png,111,541,366,738,255,197
10_主界面拆分/开始战斗大按钮.png,117,750,365,850,248,100
10_主界面拆分/底部导航整条.png,17,859,442,930,425,71
